long,lat
-0.86,10.8
-0.89,5.91
-0.56,5.78
-0.81,6.04
-2.7,10.54
-0.42,6.2
0.298,6.99
0.477,7.15
-0.23,11.06
,
,
,
,
,
,
,
,
,
,
,
,
,
,
