long,lat
-1.53,8.66
-1.51,8.15
-1.73,8.06
-0.83,9.69
-0.86,10.8
-0.89,5.91
-0.56,5.78
-0.81,6.04
-2.7,10.54
-0.42,6.2
0.298,6.99
0.477,7.15
-1.82,9.089
-0.23,11.06
-1.52,9.19
-1.39,9.15
-1.51,9.16
-1.58,9.13
-1.64,9.12
-1.66,9.12
-1.84,9.13
-1.82,9.08
-2.22,8.58
