long,lat
-1.53,8.66
-1.51,8.15
-1.73,8.06
-0.83,9.69
-1.82,9.089
-1.52,9.19
-1.39,9.15
-1.51,9.16
-1.58,9.13
-1.64,9.12
-1.66,9.12
-1.84,9.13
-1.82,9.08
-2.22,8.58
,
,
,
,
,
,
,
,
,
